name,calories,totalfat,carbs,protein
"Kohlrabi, with salt, drained, boiled, cooked",29,0.1,6.69 ,1.80
"Lamb, raw, sweetbread, imported, New Zealand",72,3.2,0.00 ,11.00
"Salad dressin, vinear and oil, home recipe",449,50,2.50 ,0.00
"E, pasteurized, salted, frozen, raw, whole",138,10,0.83 ,10.97
"Pastry, Pastelitos de uava (uava pastries)",379,19,47.76 ,5.48
"Fish, dry heat, cooked, bluefin, fresh, tuna",184,6.3,0.00 ,29.91
"ARCHWAY Home Style Cookies, Raspberry Filled",400,13,65.92 ,4.35
"Cheese spread, American, pasteurized process",290,21,8.73 ,16.41
"Candies, M&M MARS 3 MUSKETEERS Truffle Crisp",538,29,63.15 ,6.41
"Yourt, DANNON OIKOS, vanilla, nonfat, reek",85,0.1,12.72 ,8.12
"Veetable oil-butter spread, reduced calorie",465,53,0.00 ,0.00
"PAPA JOHN'S 14"" Cheese Pizza, Oriinal Crust",260,9.3,32.74 ,11.53
"Peanuts, without salt, oil-roasted, valencia",589,51,16.30 ,27.04
"Peanuts, without salt, oil-roasted, virinia",578,49,19.86 ,25.87
"Babyfood, dry, with bananas, oatmeal, cereal",393,6,73.40 ,12.00
"Cheese, low moisture, whole milk, mozzarella",318,25,2.47 ,21.60
"CAMPBELL'S, condensed, Cream of Chicken Soup",103,8,6.03 ,1.76
"MOTHER'S, 4th of July Circus Animal Cookies",487,25,68.30 ,3.80
"ame meat, pan-broiled, cooked, round, elk",193,8.7,0.00 ,26.64
"Chicken, raw, skin only, broilers or fryers",349,32,0.00 ,13.33
"Chicken, raw, meat only, broilers or fryers",119,3.1,0.00 ,21.39
"Beveraes, no suar added, chocolate powder",373,9.1,63.64 ,9.09
"WORTHINTON Super Links, unprepared, canned",219,16,5.50 ,14.50
"Babyfood, Banana with orane medley, ERBER",86,0,20.41 ,1.06
"Turkey, raw, meat only, thih, retail parts",116,3.7,0.00 ,20.60
"Pie, commercially prepared, coconut custard",260,13,30.20 ,5.90
"WORTHINTON Wham (roll), unprepared, frozen",196,11,5.70 ,17.80
"Cherries, drained, water pack, canned, sour",42,0.2,10.45 ,0.69
"Ice creams, 98% Fat Free Chocolate, BREYERS",136,2.2,30.18 ,3.89
"Salad dressin, KRAFT Mayo Liht Mayonnaise",334,33,8.50 ,0.60
"Prunes, uncooked, dehydrated (low-moisture)",339,0.7,89.07 ,3.70
"Fish, liver (Alaska Native), northern, pike",156,8,4.30 ,16.60
"Alcoholic beverae, canned, tequila sunrise",110,0.1,11.30 ,0.30
"Babyfood, mix veetables junior, veetables",36,0.4,8.20 ,1.40
"Sesbania flower, with salt, steamed, cooked",21,0.1,5.10 ,1.14
"Fish, sweet recipe, commercial, efiltefish",84,1.7,7.41 ,9.07
"Roast beef, sliced, prepackaed, deli style",115,3.7,0.64 ,18.62
"DENNY'S, from kid's menu, macaroni & cheese",150,4.9,21.16 ,5.19
"Beveraes, powder, reular, instant, coffee",353,0.5,75.40 ,12.20
"Plantains, Latino restaurant, fried, yellow",236,7.5,40.77 ,1.42
"Soup, prepared with water, mix, dry, tomato",38,0.6,7.17 ,0.93
"Candies, HERSHEY'S OLDEN ALMOND SOLITAIRES",569,37,46.85 ,11.97
"Soup, condensed, canned, cream of asparaus",69,3.3,8.52 ,1.82
"Pork sausae, pan-fried, cooked, link/patty",325,27,1.42 ,18.53
"CAMPBELL'S, condensed, Cream of Potato Soup",71,1.4,13.25 ,1.51
"Dock, without salt, drained, boiled, cooked",20,0.6,2.93 ,1.83
"Beef, canned, with potato, corned beef hash",164,10,9.27 ,8.73
"Chicken, raw, meat only, dark meat, stewin",157,8.1,0.00 ,19.70
"Fish, raw, mixed species, Pacific, rockfish",90,1.3,0.00 ,18.36
"Nuts, with salt added, dry roasted, walnuts",643,61,17.86 ,14.29
"KEEBLER, Double Stuffed Cookies, E.L. FUDE",512,25,67.60 ,4.60
"Babyfood, strained, turkey and rice, dinner",52,1.2,7.94 ,2.27
"OLIVE ARDEN, spahetti with pomodoro sauce",102,1.9,17.14 ,4.26
"Beverae, not chocolate, dry, milkshake mix",329,2.6,52.90 ,23.50
"Kale, without salt, drained, boiled, cooked",28,0.4,5.63 ,1.90
"Cranberry sauce, OCEAN SPRAY, canned, whole",158,0.1,40.40 ,0.75
"Puddins, fat free, ready-to-eat, chocolate",93,0.3,20.87 ,1.93
"Desserts, prepared-from-recipe, apple crisp",161,3.4,30.84 ,1.75
"KELLO, Buttermilk Pancake, KELLO'S EO",245,8,38.60 ,5.30
"SPAHETTIOS, SpahettiOs with Sliced Franks",87,2.4,12.70 ,3.57
"Nuts, with salt added, oil roasted, almonds",607,55,17.68 ,21.23
"Nuts, with salt added, dry roasted, almonds",598,53,21.01 ,20.96
"IRL SCOUTS, Caramel Dulce De Leche Cookies",520,27,64.80 ,5.10
"Babyfood, junior, creamed, corn, veetables",65,0.4,16.25 ,1.40
"Pumpkin, with salt, drained, boiled, cooked",18,0.1,4.31 ,0.72
"Olives, canned (jumbo-super colossal), ripe",81,6.9,5.61 ,0.97
"KEEBLER, Chocolate Chip Cookies, SOFT BATCH",477,22,66.20 ,3.60
"KEEBLER, Simply Shortbread Cookies, SANDIES",528,29,62.20 ,6.00
"Alcoholic Beverae, amay, red, table, wine",78,0,2.38 ,0.07
"Babyfood, strained, corn and sweet potatoes",68,0.3,15.23 ,1.26
"Okra, without salt, drained, boiled, cooked",22,0.2,4.51 ,1.87
"KEEBLER, Cheese & Cheddar Sandwich Crackers",502,26,59.50 ,8.10
"E, pasteurized, salted, frozen, raw, yolk",275,23,1.77 ,14.07
"Crustaceans, moist heat, cooked, blue, crab",83,0.7,0.00 ,17.88
"CAMPBELL'S CHUNKY, New Enland Clam Chowder",81,3.9,9.01 ,2.46
"Candies, milk chocolate coated coffee beans",549,33,55.25 ,7.41
"Sauce, oriinal, SWEET BABY RAY'S, barbecue",192,0.4,46.08 ,0.95
"POPEYES, analyzed 2006, Mild Chicken Strips",271,13,19.31 ,19.20
"Beveraes, diet, ready-to-drink, reen, tea",0,0,0.00 ,0.00
"PEPPERIDE FARM, Whole rain 15 rain Bread",270,4.9,45.80 ,0.01
"Leavenin aents, low-sodium, bakin powder",97,0.4,46.90 ,0.10
"Beans, raw, mature seeds, royal red, kidney",329,0.5,58.33 ,25.33
"Naranjilla (lulo) pulp, unsweetened, frozen",25,0.2,5.90 ,0.44
"Snacks, plain, uncoated, soft, ranola bars",443,17,67.30 ,7.40
"Beans, raw, mature seeds, cranberry (roman)",335,1.2,60.05 ,23.03
"Raspberries, wild (Northern Plains Indians)",62,0.3,13.85 ,1.12
"Beveraes, fast-food cola, cola, carbonated",37,0,9.56 ,0.07
"Tomato products, with onions, sauce, canned",42,0.2,9.94 ,1.56
"Sauce, prepared-from-recipe, sweet and sour",79,0.6,16.72 ,1.84
"LOMA LINDA Little Links, unprepared, canned",221,14,5.50 ,19.40
"Salmon, total can contents, canned, sockeye",153,7.2,0.00 ,20.63
"Turnips, with salt, drained, boiled, cooked",22,0.1,5.06 ,0.71
"Tomatoes, drained, packed in oil, sun-dried",213,14,23.33 ,5.06
"Pie, commercially prepared, chocolate creme",353,22,38.44 ,4.15
"Salad dressin, reduced fat, ranch dressin",196,12,21.33 ,1.25
"KEEBLER, Cashew Shortbread Cookies, SANDIES",535,31,59.30 ,6.30
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,91,1.3,15.10 ,4.70
"Babyfood, strained, bananas and rice, plums",57,0.3,12.70 ,1.10
"Wheat flour, unenriched, all-purpose, white",364,1,76.31 ,10.33
"KEEBLER, bite-size, Cinnamon rahams, RIPZ",415,13,75.60 ,7.40
"Restaurant, sweet and sour chicken, Chinese",250,13,23.86 ,10.10
"Restaurant, chicken and veetables, Chinese",95,4.6,5.38 ,8.18
"Mararine-like spread, BENECOL Liht Spread",357,39,5.71 ,0.00
"HEALTHY REQUEST, condensed, Minestrone Soup",63,0.4,11.90 ,2.38
"Peas and onions, solids and liquids, canned",51,0.4,8.57 ,3.28
"Babyfood, strained, mixed veetable, dinner",41,0.1,9.50 ,1.20
"WENDY'S, sinle, DAVE'S Hot 'N Juicy 1/4 LB",268,16,17.73 ,13.69
"Babyfood, strained, banana puddin, dessert",68,0.8,14.14 ,1.00
"Fish, raw, mixed species, fresh water, bass",114,3.7,0.00 ,18.86
"Cookies, baked, refrierated douh, oatmeal",471,21,65.70 ,6.00
"CRACKER BARREL, farm raised catfish platter",266,17,5.31 ,22.94
"Rice, cooked, enriched, medium-rain, white",130,0.2,28.59 ,2.38
"Beveraes, diet, lemon, ready-to-drink, tea",2,0,0.41 ,0.00
"Nuts, with salt added, plain, almond butter",614,56,18.82 ,20.96
"Candies, MARS Almond Bar, MARS SNACKFOOD US",467,23,62.70 ,8.10
"Waffles, ready-to-heat, frozen, luten-free",263,8.8,43.05 ,2.72
"Cookies, refrierated douh, chocolate chip",451,21,61.02 ,3.98
"Beveraes, Peach Mano, V8 SPLASH Smoothies",37,0,7.76 ,1.22
"Sweeteners, powder, dry, fructose, tabletop",368,0,100.00 ,0.00
"Balsam-pear (bitter ourd), raw, leafy tips",30,0.7,3.29 ,5.30
"Sausae, pork and beef, smoked link sausae",320,29,2.42 ,12.00
"Babyfood, mano with tapioca, fruit dessert",70,0.2,19.00 ,0.30
"Candies, M&M MARS Pretzel Chocolate Candies",447,15,72.94 ,5.00
"Chicken, stewed, cooked, meat only, stewin",237,12,0.00 ,30.42
"Chicken, simmered, cooked, iblets, stewin",194,9.3,0.11 ,25.73
"McDONALD'S, BI MAC (without Bi Mac Sauce)",234,12,21.01 ,12.79
"MURRAY, Butter Cookies, COOKIE JAR CLASSICS",463,16,74.30 ,7.20
"KELLO'S, Homestyle, Waffles, EO Protein",281,10,37.00 ,10.80
"Babyfood, strained, reen beans, veetables",27,0.2,6.29 ,1.20
"Alcoholic Beverae, Syrah, red, table, wine",83,0,2.58 ,0.07
"Snacks, sesame seed, brown rice, rice cakes",392,3.8,81.50 ,7.60
"Spinach, with salt, drained, boiled, cooked",23,0.3,3.75 ,2.97
"Salsify, with salt, drained, boiled, cooked",68,0.2,15.36 ,2.73
"Fireweed, raw (Alaska Native), youn leaves",44,0.8,6.30 ,3.00
"Sauce, ready to serve, mild, red, enchilada",30,0.9,4.87 ,0.62
"Mayonnaise, low calorie or diet, low sodium",231,19,16.00 ,0.30
"Pasta, without added salt, enriched, cooked",158,0.9,30.86 ,5.80
"Candies, not chocolate covered, coconut bar",481,28,55.87 ,2.13
"Whale, raw (Alaska Native), flipper, belua",271,22,0.00 ,19.00
"Beveraes, unsweetened, lemon, instant, tea",345,0.2,78.52 ,7.40
"FAMOUS AMOS, Vanilla Sandwich Creme Cookies",485,19,73.80 ,4.90
"Cheese, low fat, swiss, pasteurized process",165,5.1,4.30 ,25.50
"Candies, dark chocolate coated coffee beans",540,30,59.95 ,7.50
"Rolls, reduced-calorie, hamburer or hotdo",196,2,42.10 ,8.30
"Beans, raw, mature seeds, all types, kidney",333,0.8,60.01 ,23.58
"Beans, canned, mature seeds, reat northern",114,0.4,21.02 ,7.37
"Vitasoy USA, Oranic Nasoya Extra Firm Tofu",98,5.2,2.60 ,10.10
"Yokan, prepared from adzuki beans and suar",260,0.1,60.72 ,3.29
"Cheese, part-skim, low moisture, mozzarella",295,20,5.58 ,23.75
"Nuts, with salt added, plain, cashew butter",609,53,30.30 ,12.12
"LITTLE CAESARS 14"" Cheese Pizza, Thin Crust",309,17,22.85 ,16.23
"LUTINO, Vanilla Creme, luten Free Cookies",487,19,77.34 ,2.19
"LUTINO, Milk Chocolate, luten Free Wafers",541,30,62.82 ,4.06
"Shortenin, composite, household, veetable",884,100,0.00 ,0.00
"KELLO'S, Buttermilk, Pancakes, EO Minis",251,8.2,39.60 ,5.50
"Peanuts, without salt, oil-roasted, spanish",579,49,17.45 ,28.01
"Cardoon, with salt, drained, boiled, cooked",20,0.1,4.74 ,0.76
"Carrots, with salt, drained, boiled, cooked",35,0.2,8.22 ,0.76
"Cereals ready-to-eat, RALSTON Corn Biscuits",367,1.1,85.79 ,5.83
"ravy, slow roast, chicken, FRANCO-AMERICAN",34,0.9,5.08 ,1.69
"Hazelnuts, beaked (Northern Plains Indians)",628,53,22.98 ,14.89
"KELLO'S, Savory Herb Crackers, SPECIAL K",406,10,73.80 ,10.90
"Salad dressin, fat-free, italian dressin",47,0.9,8.75 ,0.97
"WORTHINTON Diced Chik, unprepared, canned",80,0.7,3.70 ,14.70
"Fish, drained solids, canned, pink, salmon",138,5,0.00 ,23.10
"Cereals ready-to-eat, FRUITY PEBBLES, POST",402,4,86.10 ,4.62
"Nuts, with salt added, dry roasted, pecans",710,74,13.55 ,9.50
"Cereals ready-to-eat, KIN VITAMAN, QUAKER",381,3.4,83.85 ,6.41
"Turkey, raw, meat only, win, retail parts",112,2.5,0.00 ,22.48
"Vitasoy USA Oranic Nasoya, Tofu Plus Firm",74,3.4,1.71 ,9.19
"Taro leaves, without salt, steamed, cooked",24,0.4,4.02 ,2.72
"Wheat flour, enriched, tortilla mix, white",405,11,67.14 ,9.66
"Ice cream, chocolate covered, bar or stick",331,24,24.50 ,4.10
"Babyfood, banana juice with low fat yourt",89,0.8,17.54 ,2.50
"Fish, dry heat, cooked, wild, coho, salmon",139,4.3,0.00 ,23.45
"Broadbeans (fava beans), raw, mature seeds",341,1.5,58.29 ,26.12
"KEEBLER, Vienna Finers with Creme Fillin",492,20,73.20 ,4.50
"KEEBLER, Iced Lemonade Cookies, TRADITIONS",502,24,66.30 ,4.50
"Chicken, reheated, breaded, frozen, thihs",334,22,14.23 ,18.66
"Borae, with salt, drained, boiled, cooked",25,0.8,3.55 ,2.09
"Peanuts, with salt, oil-roasted, all types",599,53,15.26 ,28.03
"Nuts, with salt added, oil roasted, pecans",715,75,13.01 ,9.20
"Fish, dry heat, cooked, Atlantic, wolffish",123,3.1,0.00 ,22.44
"Fish, dry heat, cooked, reenland, halibut",239,18,0.00 ,18.42
"Beef, raw, 90% lean meat / 10% fat, round",176,10,0.00 ,20.00
"Beef, raw, 85% lean meat / 15% fat, round",215,15,0.00 ,18.59
"Beans, solids and liquids, canned, shellie",30,0.2,6.19 ,1.76
"Babyfood, strained, chicken noodle, dinner",66,2.1,9.08 ,2.69
"Cookies, chocolate-coated, raham crackers",500,26,66.78 ,4.00
"Deer (venison), raw (Alaska Native), sitka",116,2.7,0.00 ,21.50
"Crackers, without salt, plain, melba toast",390,3.2,76.60 ,12.10
"Nuts, lihtly salted, oil roasted, almonds",607,55,17.68 ,21.23
"Fish, dry heat, cooked, mixed species, roe",204,8.2,1.92 ,28.62
"Babyfood, with calcium, fruit punch, juice",52,0.1,12.70 ,0.20
"McDONALD'S, Southern Style Chicken Biscuit",304,15,30.56 ,11.93
"KEEBLER, Shortbread Pie Crust, READY CRUST",502,23,69.10 ,4.40
"Babyfood, strained, reen beans and turkey",51,1.5,5.35 ,4.10
"Babyfood, instant, dry, brown rice, cereal",406,3,85.98 ,8.70
"Rice, unenriched, raw, medium-rain, white",360,0.6,79.34 ,6.61
"Pasta, cooked, spinach, fresh-refrierated",130,0.9,25.04 ,5.06
"Restaurant, eneral tso's chicken, Chinese",295,16,23.99 ,12.90
"Chicken, raw, meat only, cornish ame hens",116,3.3,0.00 ,20.04
"WENDY'S, Homestyle Chicken Fillet Sandwich",214,8.1,21.55 ,13.78
"Nuts, coconut water (liquid from coconuts)",19,0.2,3.71 ,0.72
"Soup, prepared with water, mix, dry, onion",12,0,2.77 ,0.32
"Babyfood, strained, peach cobbler, dessert",65,0,17.80 ,0.30
"Bread, toasted, (includes luten), protein",270,2.4,48.10 ,13.20
"Rice, UNCLE BENS, cooked, parboiled, brown",147,0.9,31.33 ,3.09
"Soymilk, unfortified, oriinal and vanilla",54,1.8,6.28 ,3.27
"OSCAR MAYER, Chicken Breast (honey lazed)",109,1.5,4.30 ,19.85
"PEPPERIDE FARM, Farmhouse Sourdouh Bread",269,3.5,50.30 ,0.01
"Breakfast bar, corn flake crust with fruit",377,7.5,72.90 ,4.40
"Snacks, salted, wheat-based, sesame sticks",541,37,46.50 ,10.90
"Cereals ready-to-eat, KASHI Honey Sunshine",332,4.1,82.00 ,7.80
"Snacks, chocolate chip, hard, ranola bars",438,16,72.10 ,7.30
"Chicken, simmered, cooked, iblets, capons",164,5.4,0.76 ,26.39
"Soup, condensed, canned, chicken veetable",61,2.3,7.01 ,2.94
"Soup, condensed, canned, chicken with rice",68,1.6,11.57 ,1.84
"Tortilla chips, baked without fat, low fat",415,5.7,80.00 ,11.00
"Beef, raw, 70% lean meat / 30% fat, round",332,30,0.00 ,14.35
"Pie, commercially prepared, lemon merinue",268,8.7,47.20 ,1.50
"Soup, condensed, canned, cream of mushroom",79,5.3,6.80 ,1.35
"CAMPBELL'S Low Sodium Soups, Chicken Broth",10,0.3,0.34 ,1.01
"Cereals ready-to-eat, KASHI OLEAN CRUNCH!",367,5.9,71.40 ,16.70
"Mollusks, moist heat, cooked, blue, mussel",172,4.5,7.39 ,23.80
"ARCHWAY Home Style Cookies, Oatmeal Raisin",406,12,69.27 ,5.17
"Pancakes, incomplete, dry mix, whole wheat",350,1.3,74.11 ,10.53
"Chiton, umboots (Alaska Native), leathery",83,1.6,0.00 ,17.10
"Yourt, CHOBANI, strawberry, nonfat, reek",80,0.1,11.62 ,8.03
"Fast foods, sausae, riddle cake sandwich",318,18,31.25 ,8.41
"Veal, raw, separable lean and fat, sirloin",152,7.8,0.00 ,19.07
"Whale, dried (Alaska Native), meat, belua",327,5.3,0.00 ,69.86
"Beveraes, chocolate malt powder, OVALTINE",372,0,92.96 ,0.00
"Snacks, multirain, brown rice, rice cakes",387,3.5,80.10 ,8.50
"McDONALD'S, E & Cheese McRIDDLES, Bacon",272,13,26.19 ,12.03
"Snacks, plain, cones, extruded, corn-based",510,27,62.90 ,5.80
"Snacks, onion-flavor, extruded, corn-based",499,23,65.10 ,7.70
"Snacks, plain, chips, extruded, corn-based",538,33,56.90 ,6.17
"MURRAY, Old Fashioned Iced Oatmeal Cookies",459,18,71.00 ,5.00
"Noodles, Chinese restaurant, crunchy, flat",521,32,51.90 ,10.33
"Onions, with salt, drained, boiled, cooked",42,0.2,9.56 ,1.36
"ame meat, raw, separable lean only, bison",109,1.8,0.00 ,21.62
"ame meat, raw, composite of cuts, beefalo",143,4.8,0.00 ,23.30
"Seeds, without salt, sunflower seed butter",617,55,23.32 ,17.28
"KEEBLER, Mini, Fude Stripes, FUDE SHOPPE",497,23,68.70 ,4.20
"Potatoes, with salt, flesh and skin, baked",93,0.1,21.15 ,2.50
"Beef, raw, 75% lean meat / 25% fat, round",293,25,0.00 ,15.76
"Cream, pressurized, cream toppin, whipped",257,22,12.49 ,3.20
CAMPBELL'S Homestyle Veetable Medley Soup,37,0.2,7.35 ,1.22
"Pasta, with added salt, unenriched, cooked",157,0.9,30.59 ,5.80
"Celery, with salt, drained, boiled, cooked",18,0.2,4.00 ,0.83
"Babyfood, dry, with bananas, mixed, cereal",391,4.6,77.10 ,10.70
"Dumplin, frozen, potato- or cheese-filled",195,6.1,29.64 ,5.26
"E substitute, fat free, liquid or frozen",48,0,2.00 ,10.00
"Beveraes, Ruby Red cranberry, OCEAN SPRAY",45,0,11.58 ,0.07
"Fast foods, with e and cheese, croissant",304,19,22.45 ,10.07
"LOMA LINDA Vee-Burer, unprepared, canned",114,1.2,3.70 ,22.20
"LOMA LINDA Redi-Burer, unprepared, canned",146,2.8,8.20 ,21.90
"LOMA LINDA Tender Bits, unprepared, canned",135,4.6,8.30 ,15.10
"Fast foods, with beans and cheese, burrito",205,6.1,31.23 ,7.35
"Alcoholic beverae, BUD LIHT, liht, beer",29,0,1.30 ,0.25
"WORTHINTON Veja-Links, unprepared, canned",155,8.9,4.10 ,14.60
"WORTHINTON Chic-Ketts, unprepared, frozen",200,9.7,5.10 ,23.60
"Beef, raw, 80% lean meat / 20% fat, round",254,20,0.00 ,17.17
"Sweet potato, without skin, boiled, cooked",76,0.1,17.72 ,1.37
"KEEBLER, Pecan Shortbread Cookies, SANDIES",541,32,59.00 ,5.00
"Oil, bearded seal (Ooruk) (Alaska Native)",899,100,0.00 ,0.56
"CAMPBELL'S, Oranic V8, V8 Veetable Juice",20,0,4.53 ,0.41
"KEEBLER, Holiday, Almond Crescents Cookies",482,21,70.10 ,5.10
"Restaurant, shrimp and veetables, Chinese",78,4.1,4.52 ,5.90
"HEALTHY REQUEST, condensed, Veetable Soup",79,0.8,15.87 ,3.17
"Cookies, refrierated douh, peanut butter",458,25,52.10 ,8.20
"Rice, cooked, enriched, short-rain, white",130,0.2,28.73 ,2.36
"Rice, cooked, unenriched, lutinous, white",97,0.2,21.09 ,2.02
"Candies, TWIZZLERS Strawberry Twists Candy",348,2.3,79.16 ,2.56
"Syrups, with butter, pancake, table blends",291,0.1,72.43 ,0.00
"Pancakes, prepared from recipe, buttermilk",227,9.3,28.70 ,6.80
"Cereals ready-to-eat, KASHI INDIO MORNIN",364,3.4,82.80 ,7.70
"Babyfood, strained, banana yourt, dessert",78,0.5,17.35 ,1.10
"Fast foods, breaded and fried, onion rins",411,25,43.58 ,3.86
"Fish, dry heat, cooked, mixed species, eel",236,15,0.00 ,23.65
"PEPPERIDE FARM, Whole rain Oatmeal Bread",258,3.7,46.50 ,0.01
"Beans, raw, sprouted, mature seeds, kidney",29,0.5,4.10 ,4.20
"Sauce, refrierated, ready-to-serve, pesto",418,38,10.09 ,9.83
"Sauce, shelf stable, ready-to-serve, pesto",426,42,6.14 ,5.00
"CAMPBELL'S, condensed, Cheddar Cheese Soup",84,3.9,11.44 ,0.80
"Fish, dry heat, cooked, Atlantic, mackerel",262,18,0.00 ,23.85
"Cheesecake prepared from mix, no-bake type",274,13,35.50 ,5.50
"rapefruit juice, sweetened, canned, white",46,0.1,11.13 ,0.58
"MOTHER'S, Halloween Circus Animals Cookies",514,25,68.10 ,3.80
"Beets, solids and liquids, canned, pickled",65,0.1,16.28 ,0.80
"Beets, solids and liquids, canned, harvard",73,0.1,18.18 ,0.84
"Candies, with hih vitamin C, fruit snacks",352,0,87.97 ,0.08
"MURRAY, Chocolate Chip Cookies, SUAR FREE",469,27,63.60 ,5.60
"Pancakes, incomplete, dry mix, whole-wheat",344,1.5,71.00 ,12.80
"Cereals, Dry, Quick Oats with Iron, QUAKER",371,6.9,68.18 ,13.70
"Chicken, raw, skin (drumsticks and thihs)",440,44,0.79 ,9.58
"Nuts, unpeeled, dried, european, chestnuts",374,4.5,77.31 ,6.39
"Lime juice, unsweetened, canned or bottled",21,0.2,6.69 ,0.25
"Frostins, ready-to-eat, creamy, chocolate",397,18,63.20 ,1.10
"Waffles, ready-to-heat, frozen, buttermilk",273,9.2,41.05 ,6.58
"Tofu, prepared with calcium sulfate, fried",270,20,8.86 ,18.82
"Cereals ready-to-eat, CAP'N CRUNCH, QUAKER",398,5.1,85.51 ,4.39
"KEEBLER, Cheese on Wheat Sandwich Crackers",499,25,59.80 ,8.40
"Cereals, dry, plain, oriinal, MALT-O-MEAL",365,0.7,77.25 ,11.80
"Chicken tenders, prepared, frozen, breaded",240,14,14.86 ,14.62
"KASHI Black Bean Mano, unprepared, frozen",115,3,18.00 ,3.00
"Mushrooms, raw, or crimini, italian, brown",22,0.1,4.30 ,2.50
"Ice creams, no suar added, liht, vanilla",169,7.5,21.42 ,3.97
"Malt beverae, includes non-alcoholic beer",37,0.1,8.05 ,0.21
"ame meat, roasted, cooked, water, buffalo",131,1.8,0.00 ,26.83
"CAMPBELL'S, condensed, Veetable Beef Soup",65,0.3,11.80 ,3.79
"Vitasoy USA, Vitasoy Liht Vanilla Soymilk",30,0.8,4.10 ,1.60
"Beveraes, breakfast blend, brewed, coffee",2,0,0.23 ,0.30
"Cake, cherry fude with chocolate frostin",264,13,38.00 ,2.40
"Babyfood, dry, with honey, oatmeal, cereal",391,7,69.30 ,13.50
"Babyfood, strained, with e yolks, cereal",51,1.8,7.00 ,1.90
"Beveraes, Acai Berry, V8 V- FUSION Juices",45,0,10.98 ,0.00
"Beveraes, Peach Mano, V8 V-FUSION Juices",49,0,11.38 ,0.41
"ravy, slow roast, turkey, FRANCO-AMERICAN",42,0.9,6.78 ,1.69
"Piki bread, made from blue cornmeal (Hopi)",390,7.2,72.22 ,9.06
"KELLO'S, Multirain Crackers, SPECIAL K",401,9.4,75.40 ,9.00
"Milk, without added vitamin D, whole, dry",496,27,38.42 ,26.32
"Fast Foods, with e and sausae, biscuit",312,21,21.05 ,11.13
"WORTHINTON Saucettes, unprepared, canned",219,15,5.60 ,15.00
"Apples, boiled, cooked, without skin, raw",53,0.4,13.64 ,0.26
"Seeds, dried, whole, sisymbrium sp. seeds",318,4.6,58.26 ,12.14
"WORTHINTON Stripples, unprepared, frozen",346,27,14.30 ,12.40
"WORTHINTON Stakelets, unprepared, frozen",211,10,9.60 ,19.70
"Bread, commercially prepared, whole-wheat",252,3.5,42.71 ,12.45
"Cereals ready-to-eat, COCOA PEBBLES, POST",397,4.1,85.70 ,4.80
"KEEBLER, Honey Wheat Crackers, WHEATABLES",482,20,67.00 ,7.60
"KEEBLER, Iced Oatmeal Cookies, TRADITIONS",463,18,71.00 ,5.40
"Kielbasa, smoked, turkey and beef, Polish",226,18,3.90 ,13.10
"Alcoholic beverae, low carb, liht, beer",27,0,0.73 ,0.17
"Beets, with salt, boiled. drained, cooked",44,0.2,9.96 ,1.68
"Cookies, baked, refrierated douh, suar",489,23,65.60 ,4.70
"Beveraes, EAS soy protein powder, ABBOTT",405,3.6,43.94 ,47.62
"ARDENBURER Oriinal, unprepared, frozen",155,4.6,22.10 ,7.20
"Fish, dry heat, cooked, Atlantic, pollock",118,1.3,0.00 ,24.92
"MURRAY, Oatmeal Cookies, SOUTHERN KITCHEN",478,20,67.70 ,7.10
"Bread, toasted, oat bran, reduced-calorie",239,3.8,49.20 ,9.50
"KEEBLER, Chocolate Pie Crust, READY CRUST",490,22,67.70 ,5.10
"Snacks, unsalted, low fat, tortilla chips",416,5.7,80.10 ,11.00
"Chicken breast tenders, uncooked, breaded",263,16,15.01 ,14.73
"SUNSHINE, Scrabble Jr. Crackers, CHEEZ-IT",466,17,67.90 ,10.90
"Milk, lowfat, cultured, fluid, buttermilk",40,0.9,4.79 ,3.31
"Beans, raw, sprouted, mature seeds, pinto",62,0.9,11.60 ,5.25
"Pieon peas (red ram), raw, mature seeds",343,1.5,62.78 ,21.70
"Sausae, e and cheese breakfast biscuit",324,22,21.57 ,9.54
"SUNSHINE, Cheddar Jack Crackers, CHEEZ-IT",460,22,57.60 ,9.50
"Muffins, toasted, toaster-type, blueberry",333,10,56.70 ,4.90
"Cauliflower, no salt added, cooked, reen",32,0.3,6.28 ,3.04
"T..I. FRIDAY'S, breaded, FRIDAY'S Shrimp",302,19,20.87 ,11.87
"Veetables, drained solids, canned, mixed",49,0.3,9.26 ,2.59
Soy sauce made from soy and wheat (shoyu),53,0.6,4.93 ,8.14
"Fish, dry heat, cooked, spanish, mackerel",158,6.3,0.00 ,23.59
"Beveraes, ready-to-drink, Tropical Punch",10,0,2.50 ,0.00
"Ruffed rouse, raw, skinless, breast meat",112,0.9,0.00 ,25.94
"USDA Commodity, Flour Mix Low-fat, Bakery",361,4.7,70.59 ,9.07
"Chili con carne with beans, canned entree",107,3.5,13.10 ,5.80
"Alcoholic beveraes, hiher alcohol, beer",58,0,0.27 ,0.90
"Snacks, nonfat, fruit-filled, ranola bar",342,0.9,77.60 ,5.90
"Babyfood, junior, turkey and rice, dinner",56,0.9,9.57 ,2.37
"round turkey, broiled, patties, fat free",138,2.5,0.00 ,28.99
"MURRAY, Peanut Butter Cookies, SUAR FREE",505,31,55.80 ,9.50
